African
Blank
Broad
Crooked
Deep
distinct
Fizzy
Gnarled
hazy
low
Lucid
odd
Open
optic
Plenty
Shut
slender
Small
Snide
Soft
Sunder
tepid
Tight
Vague
wan
malignant








