acrylic
brass
calico
chalk
chemical
colloidal
concrete
copper
electric
electrolyte
emerald
fabric
granite
ink
iodine
iron
lithium
lucite
magnet
mercury
neodymium
opal
ore
pewter
pixel
plastic
quartz
sapphire
silicone
silver
talc
tungsten
velvet
vinyl
wax
wool
yttrium
