
bent
bollock
bolus
Boobs
Breasts
Bum
Bung
Cheese
conniptions
Coupon
crisps
filth
gormless
gourd
Knees
Monkey
Mousse
Pabulum
Gorse
Elbow
plop
sheepshit

Soup
Stump
Twat
Urine
Wasps
Whimsy
woo
Imp
Chimp
Wallop
Scoop
Fudge
Goo






