African
blank
botched
broad
cortical
crooked
dank
deep
distinct
execrable
fizzy
fragrant
fresh
gnarled
gothic
grievous
gross
haggard
hazy
lexical
low
lucid
malignant
meagre
molten
noxious
odd
open
optic
plenty
profane
sardonic
shut
silly
sinister
slender
small
snide
soft
sunder
tart
tepid
thick
tight
uncouth
vague
wan
wicked
written
rank
inebriated
